passage_id,title,n_paragraphs,mean_speaker_sim,speaker_sim_std,f0_drift_hz,wpm_drift,paragraph_f0s,paragraph_wpms
0,Technology and Society,5,0.9207,0.0175,6.5,17.4,"[181.7, 191.1, 192.0, 174.8, 188.6]","[153.1, 174.7, 178.8, 140.6, 135.8]"
1,Climate and Environment,6,0.9112,0.0262,5.3,13.1,"[196.9, 184.0, 192.7, 183.0, 185.6, 183.2]","[168.1, 168.8, 171.6, 152.9, 133.3, 158.0]"
2,Medical Advances,5,0.9301,0.0198,10.3,14.7,"[177.3, 176.9, 205.2, 185.9, 189.5]","[146.2, 167.7, 168.8, 129.2, 154.3]"
3,Space Exploration,5,0.9079,0.0286,6.5,16.8,"[180.0, 184.5, 181.9, 197.5, 180.5]","[186.2, 190.6, 150.0, 153.1, 177.0]"
4,Financial Markets,5,0.9031,0.0253,10.9,8.3,"[175.5, 196.9, 163.0, 176.7, 175.1]","[150.0, 168.1, 157.1, 145.7, 163.6]"
